Verwaltungskreis,Träger,Bildungsstufe,Schueler
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,38
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,49
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,60
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,74
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,8
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,58
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,70
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,103
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,62
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,25
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,22
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,38
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,57
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,139
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,129
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,7
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,164
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,41
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,98
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,8
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,82
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,37
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,161
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,6
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,33
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,122
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,40
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,82
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,6
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,68
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,2
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,182
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,18
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,114
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,73
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,26
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,49
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,44
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,106
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,42
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,38
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,48
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,51
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,77
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,23
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,34
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,6
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,99
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,53
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,224
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,1
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,48
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,93
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,22
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,40
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,27
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,131
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,60
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,211
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,5
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,131
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,8
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,16
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,74
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,70
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,98
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,139
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,33
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,52
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,100
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,16
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,48
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,82
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,83
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,149
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,237
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,17
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,22
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,135
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,65
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,31
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,116
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,45
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,43
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,66
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,19
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,65
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,287
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,132
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Primarstufe,43
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Primarstufe,22
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,242
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,23
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,34
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,54
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,13
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,38
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,72
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,62
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,120
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,212
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,18
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,74
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,37
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,247
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,35
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,168
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,63
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,37
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,87
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,143
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,69
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,62
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,301
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,67
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,15
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,15
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,145
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,279
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,7
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,114
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,10
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,14
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,157
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,24
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,27
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,13
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,205
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,31
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,60
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,212
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,3
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,214
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,116
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,11
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,107
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,48
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,96
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,42
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,205
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,11
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,141
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,249
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,21
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,100
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,125
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,12
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,17
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,37
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Primarstufe,81
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Primarstufe,85
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,23
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,320
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,213
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,316
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,16
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,79
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Primarstufe,36
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,39
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,55
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,102
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,14
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,21
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,25
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,109
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,65
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,39
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,57
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,91
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,8
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,114
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,17
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,80
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,69
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,52
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,113
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,15
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,53
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,56
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,116
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,56
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,111
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,95
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,16
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,61
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,130
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,67
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,220
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,151
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,5
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,92
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,124
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,7
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,96
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,33
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,114
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,84
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,113
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,59
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,35
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,4
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,74
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,93
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,137
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,6
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,73
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,33
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,39
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,54
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,31
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,228
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,12
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,64
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,49
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,209
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,12
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,97
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,78
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,44
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,120
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,64
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,62
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,31
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,143
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,20
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,14
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,36
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,108
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,46
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,41
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,42
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,38
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,122
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,62
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,55
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,39
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,84
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,57
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,20
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,63
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,20
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,50
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,35
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,32
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,34
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,148
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,12
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,111
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,3
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,120
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,18
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,236
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,98
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,78
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,96
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,184
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,105
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,293
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,49
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,35
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,154
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,42
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,160
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,22
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,117
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,11
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,20
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,72
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,118
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,140
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,88
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,78
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,114
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,220
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,224
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,10
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,10
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,90
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,14
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,120
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,10
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,21
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,31
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,27
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,150
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,18
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,181
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,17
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,101
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,12
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,85
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,124
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,17
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,35
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,38
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,14
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,21
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,164
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,97
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,193
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,237
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,115
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,11
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,38
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,12
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,71
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,129
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,103
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,284
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,97
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,12
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,113
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,160
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,1
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,18
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,43
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,59
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,99
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,302
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,145
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,21
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,102
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,62
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,130
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,59
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,33
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,35
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,125
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,1
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,8
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,48
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,172
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,124
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,37
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,78
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,33
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,39
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,33
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,17
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,38
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,45
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,18
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,79
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,23
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,37
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,68
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,46
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,14
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,38
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,11
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,218
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,22
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,95
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Primarstufe,24
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,180
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,34
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,58
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Primarstufe,21
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,117
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,114
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,7
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,40
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,130
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,8
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,14
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,20
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,36
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,5
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,187
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,8
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,15
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,26
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,17
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,57
